sentence,label,idx,gold_label,category,notes
"a warm but realistic meditation on friendship , family and affection .",1,383,positive,clear,
good old-fashioned slash-and-hack is back !,1,68,positive,clear,
"about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .",1,146,positive,contrastive,
his healthy sense of satire is light and fun ...,1,848,positive,clear,
"woody allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz .",1,830,positive,mixed,
"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .",0,733,negative,clear,
"despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine .",0,845,negative,contrastive,
"miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .",1,850,positive,ambiguous,
that is a compliment to kuras and miller .,1,138,positive,clear,
a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .,0,155,negative,clear,
"a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .",1,151,positive,clear,
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",0,374,negative,clear,
a solid examination of the male midlife crisis .,1,154,positive,clear,
overall very good for what it 's trying to do .,1,150,positive,clear,
made with no discernible craft and monstrously sanctimonious in dealing with childhood loss .,0,745,negative,clear,
"it 's so mediocre , despite the dynamic duo on the marquee , that we just ca n't get no satisfaction .",0,538,negative,contrastive,
"the result is a gaudy bag of stale candy , something from a halloween that died .",0,761,negative,clear,
"so much facile technique , such cute ideas , so little movie .",1,656,positive,mixed,
"every dance becomes about seduction , where backstabbing and betrayals are celebrated , and sex is currency .",0,579,negative,clear,
"the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow .",0,64,negative,clear,
"passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .",0,571,negative,contrastive,
manages to be sweet and wickedly satisfying at the same time .,1,168,positive,clear,
"manages to transcend the sex , drugs and show-tunes plot into something far richer .",1,156,positive,clear,
"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic .",0,836,negative,clear,
"seldahl 's barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .",1,570,positive,clear,
"it has the charm of the original american road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .",1,820,positive,clear,
"a spellbinding african film about the modern condition of rootlessness , a state experienced by millions around the globe .",1,816,positive,clear,
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored .",0,34,negative,clear,
they should have called it gutterball .,0,712,negative,clear,
corpus collosum -- while undeniably interesting -- wore out its welcome well before the end credits rolled about 45 minutes in .,0,713,negative,contrastive,
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",1,63,positive,clear,
"in its best moments , resembles a bad high school production of grease , without benefit of song .",0,19,negative,ambiguous,
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .",1,104,positive,clear,
"trite , banal , cliched , mostly inoffensive .",0,436,negative,clear,
a rarity among recent iranian films : it 's a comedy full of gentle humor that chides the absurdity of its protagonist 's plight .,1,259,positive,clear,
"it 's a cookie-cutter movie , a cut-and-paste job .",0,28,negative,clear,
"just as moving , uplifting and funny as ever .",1,807,positive,clear,
"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving .",1,766,positive,contrastive,
